word1,word2,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex)
old,new,1.58,2.72,2.81,2,7.25,1,0.41
smart,intelligent,9.2,1.75,2.46,1,7.11,1,0.67
hard,difficult,8.77,3.76,2.21,2,5.94,1,1.19
happy,cheerful,9.55,2.56,2.34,1,5.85,1,2.18
hard,easy,0.95,3.76,2.07,2,5.82,1,0.93
fast,rapid,8.75,3.32,3.07,2,5.66,1,1.68
happy,glad,9.17,2.56,2.36,1,5.49,1,1.59
short,long,1.23,3.61,3.18,2,5.36,1,1.58
stupid,dumb,9.58,1.75,2.36,1,5.26,1,1.48
weird,strange,8.93,1.59,1.86,1,4.26,1,1.3
wide,narrow,1.03,3.06,3.04,2,4.06,1,0.58
bad,awful,8.42,1.68,1.92,1,3.41,1,1.74
easy,difficult,0.58,2.07,2.21,1,2.83,1,0.36
bad,terrible,7.78,1.68,2.04,1,2.31,1,1.43
hard,simple,1.38,3.76,1.62,2,2.16,1,1.03
smart,dumb,0.55,1.75,2.36,1,2.1,1,0.47
insane,crazy,9.57,1.77,2.37,1,2.09,1,0.92
happy,mad,0.95,2.56,2.76,2,2.07,1,1.4
large,huge,9.47,3.37,3.54,2,2,1,1.27
hard,tough,8.05,3.76,2.5,2,1.99,1,1.18
new,fresh,6.83,2.81,1.97,1,1.98,1,1.2
sharp,dull,0.6,3.86,2.37,2,1.48,1,1.39
quick,rapid,9.7,2.89,3.07,2,1.38,1,1.14
dumb,foolish,6.67,2.36,1.84,1,1.34,1,1.36
wonderful,terrific,8.63,1.82,2.07,1,1.17,1,1.63
strange,odd,9.02,1.86,1.7,1,1.16,1,1.04
happy,angry,1.28,2.56,2.53,1,1.15,1,1.41
narrow,broad,1.18,3.04,2.45,2,1,1,1.18
simple,easy,9.4,1.62,2.07,1,0.96,1,1.51
old,fresh,0.87,2.72,1.97,1,0.91,1,1.64
apparent,obvious,8.47,1.73,2.07,1,0.89,1,1.52
inexpensive,cheap,8.72,2.22,2.11,1,0.79,1,0.81
nice,generous,5,2.18,2.25,1,0.77,1,1.14
weird,normal,0.72,1.59,1.4,1,0.76,1,1.15
weird,odd,9.2,1.59,1.7,1,0.75,1,1.27
bad,immoral,7.62,1.68,1.59,1,0.74,1,0.98
sad,funny,0.95,3.07,2.5,2,0.74,1,1.28
wonderful,great,8.05,1.82,1.81,1,0.7,1,1.05
guilty,ashamed,6.38,2.36,1.74,1,0.69,1,0.47
beautiful,wonderful,6.5,2.16,1.82,1,0.68,1,0.85
confident,sure,8.27,2.62,1.73,1,0.68,1,1.21
dumb,dense,7.27,2.36,3.14,2,0.68,1,0.43
large,big,9.55,3.37,3.66,2,0.68,1,0.44
nice,cruel,0.67,2.18,2.11,1,0.49,1,1.53
impatient,anxious,6.03,2.38,1.68,1,0.47,1,1.22
big,broad,6.73,3.66,2.45,2,0.47,1,1.68
strong,proud,3.17,3.14,2.07,2,0.42,0,1.46
unnecessary,necessary,0.63,1.56,1.8,1,0.41,0,0.61
restless,young,1.6,2.46,3.16,2,0.41,0,0.85
dumb,intelligent,0.75,2.36,2.46,1,0.37,0,1.5
bad,great,0.35,1.68,1.81,1,0.35,0,1.49
difficult,simple,0.87,2.21,1.62,1,0.34,0,0.44
necessary,important,7.37,1.8,2.14,1,0.34,0,1.36
bad,terrific,0.65,1.68,2.07,1,0.28,0,1.43
mad,glad,1.45,2.76,2.36,1,0.28,0,1.17
honest,guilty,1.18,1.66,2.36,1,0.27,0,1.68
easy,tough,0.52,2.07,2.5,1,0.27,0,1.87
